A,B,f,ANAME,ANFOL,AFNAME,ADESCRIPTION,BNAME,BNFOL,BFNAME,BDESCRIPTION
4096090097,3373762791,13,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
727425382169849856,33962372,13,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil"
4096090097,572122341,13,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
727425382169849856,1153273982168313857,13,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
2986275514,727425382169849856,11,jaclostermann,10537,Jacques CLOSTERMANN,"""AIME LA FRANCE DANS SON CIEL COMME DANS SON HISTOIRE"".Pilote de Chasse.Officier de réserve.Pilote de Ligne.Gaulliste.""Stat Crux Dum Volvitur Orbis""",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
1121856729787043842,1153273982168313857,11,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
3373762791,727425382169849856,11,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
727425382169849856,3373762791,11,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
2431761083,1201182696791257094,11,_AngeBRK,9495,A. 👩🏾,"Égalité, justice, amour. ✝️ #BlackLivesMatter. http://paypal.me/auberginedandi. https://twitter.com/_AngeBRK/status/1023254716585791488?s=20",BuurSam,688,Samir🇸🇳🇩🇿🇸🇳,"Short king. Référence en matière de blackness. Zoologie et Marvel 👍🏽. Halle Bailey, my dms are open for you 😘"
1121856729787043842,2877116435,11,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",YannickMartin9,1562,YM 🇫🇷🇪🇸🇮🇱✝️🔯,l'important n'est pas ce que l'on dit mais ce que l'autre comprend
1121856729787043842,827151086733635584,11,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
901893722857766912,1121856729787043842,10,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
1153273982168313857,572122341,10,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
827151086733635584,4096090097,10,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
901893722857766912,1153273982168313857,9,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
33962372,1153273982168313857,9,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
572122341,3373762791,9,tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
3373762791,87886754,9,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",ECiotti,150507,Eric Ciotti,"Député, Conseiller Départemental des @AlpesMaritimes, Président de la CNI @lesRepublicains"
727425382169849856,4820481910,9,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
1121856729787043842,87886754,9,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",ECiotti,150507,Eric Ciotti,"Député, Conseiller Départemental des @AlpesMaritimes, Président de la CNI @lesRepublicains"
727425382169849856,1121856729787043842,9,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
4096090097,727425382169849856,9,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
4096090097,1121856729787043842,9,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
87886754,1199820820278849537,9,ECiotti,150507,Eric Ciotti,"Député, Conseiller Départemental des @AlpesMaritimes, Président de la CNI @lesRepublicains",DarmonLouise,385,#RachidapourParis,#LesRepublicains membre fondateur @NicolasSarkozy @AgnesEvren @datirachida #RachidapourParis #Municipales2020
494593786,1121856729787043842,9,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
2986275514,827151086733635584,9,jaclostermann,10537,Jacques CLOSTERMANN,"""AIME LA FRANCE DANS SON CIEL COMME DANS SON HISTOIRE"".Pilote de Chasse.Officier de réserve.Pilote de Ligne.Gaulliste.""Stat Crux Dum Volvitur Orbis""",dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
33962372,727425382169849856,9,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
4096090097,2877116435,8,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",YannickMartin9,1562,YM 🇫🇷🇪🇸🇮🇱✝️🔯,l'important n'est pas ce que l'on dit mais ce que l'autre comprend
978184280,3373762791,8,DamienRieu,58942,Damien Rieu,Lanceur d’alertes | France périphérique | @frenchlivesM @f_desouche,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
727425382169849856,2877116435,8,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,YannickMartin9,1562,YM 🇫🇷🇪🇸🇮🇱✝️🔯,l'important n'est pas ce que l'on dit mais ce que l'autre comprend
4820481910,827151086733635584,8,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein.",dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
87886754,3373762791,8,ECiotti,150507,Eric Ciotti,"Député, Conseiller Départemental des @AlpesMaritimes, Président de la CNI @lesRepublicains",GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
3373762791,901893722857766912,8,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
1121856729787043842,528890147,8,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi
1201182696791257094,2431761083,8,BuurSam,688,Samir🇸🇳🇩🇿🇸🇳,"Short king. Référence en matière de blackness. Zoologie et Marvel 👍🏽. Halle Bailey, my dms are open for you 😘",_AngeBRK,9495,A. 👩🏾,"Égalité, justice, amour. ✝️ #BlackLivesMatter. http://paypal.me/auberginedandi. https://twitter.com/_AngeBRK/status/1023254716585791488?s=20"
727425382169849856,572122341,8,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
1121856729787043842,4096090097,8,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
112754792,727425382169849856,8,Valeurs,145860,Valeurs actuelles ن,"L'hebdo de la droite qui s'assume.
💻Facebook : https://bit.ly/2Q8mX3B
📸 Instagram : https://bit.ly/32AAWoD",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
112754792,1121856729787043842,8,Valeurs,145860,Valeurs actuelles ن,"L'hebdo de la droite qui s'assume.
💻Facebook : https://bit.ly/2Q8mX3B
📸 Instagram : https://bit.ly/32AAWoD",stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
1121856729787043842,572122341,8,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
2953506202,2986275514,8,cajounice,5868,CajouDesCollines ♦️🎗,POUR QUE LA FRANCE RESTE LA FRANCE 🇫🇷 NE PAS SUBIR !!!! NS LW JA combien de déceptions ....Je bloque les dragueurs ...,jaclostermann,10537,Jacques CLOSTERMANN,"""AIME LA FRANCE DANS SON CIEL COMME DANS SON HISTOIRE"".Pilote de Chasse.Officier de réserve.Pilote de Ligne.Gaulliste.""Stat Crux Dum Volvitur Orbis"""
456777022,3327799085,8,JeanMessiha,56076,Jean MESSIHA,"Membre du Bureau National du @RNational_off, Délégué National « Études et Argumentaires ». Venu d’ailleurs, devenu d’ici. Vive la France ! ❤️🇫🇷❤️",FilFrance,12531,Fil Rouge France,Il paraît que mes tweets comportent des contenus potentiellement offensants alors qu'ils ne sont que le reflet de ce que pensent les patriotes
727425382169849856,4096090097,8,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
1121856729787043842,789420103787958272,8,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",patrick_edery,24910,Patrick Edery,"Editorialiste🇫🇷 à Tygodnik Solidarnosc-portal Tysol, l'hebdomadaire & site d'information du syndicat polonais ""Solidarité""."
727425382169849856,1389044180,8,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
4096090097,1153273982168313857,7,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
3373762791,494593786,7,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |"
528890147,1121856729787043842,7,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
4096090097,1389044180,7,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
827151086733635584,901893722857766912,7,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
727425382169849856,614968054,7,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,PhilipJ37,2240,,None
1121856729787043842,1389044180,7,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
33962372,827151086733635584,7,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
1121856729787043842,826414635783958528,7,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",LeGuillec2019,3019,Carole Le Guillec,"Recenser, étudier, faire connaître le patrimoine : c'est ma mission. l'Inventaire général des monuments et richesses artistiques de la France. "
827151086733635584,727425382169849856,7,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
33962372,789420103787958272,7,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",patrick_edery,24910,Patrick Edery,"Editorialiste🇫🇷 à Tygodnik Solidarnosc-portal Tysol, l'hebdomadaire & site d'information du syndicat polonais ""Solidarité""."
2986275514,901893722857766912,7,jaclostermann,10537,Jacques CLOSTERMANN,"""AIME LA FRANCE DANS SON CIEL COMME DANS SON HISTOIRE"".Pilote de Chasse.Officier de réserve.Pilote de Ligne.Gaulliste.""Stat Crux Dum Volvitur Orbis""",Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
1121856729787043842,3373762791,7,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
4096090097,901893722857766912,7,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
528890147,572122341,7,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi,tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
33962372,901893722857766912,7,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️
87886754,727425382169849856,7,ECiotti,150507,Eric Ciotti,"Député, Conseiller Départemental des @AlpesMaritimes, Président de la CNI @lesRepublicains",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
4096090097,827151086733635584,7,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷",dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
1121856729787043842,4820481910,7,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
